transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
uc001aaa.3	1	1652	1516.71	2.93	0.02	0.05	14.37
uc010nxq.1	1	1488	1352.71	0.00	0.00	0.00	0.00
uc010nxr.1	1	1595	1459.71	16.83	0.14	0.27	85.63
uc021oei.1	10	894	758.72	13.63	0.22	0.42	100.00
uc001ajc.3	100	2248	2112.71	2.00	0.01	0.02	100.00
uc021oon.1	1000	78	0.00	0.00	0.00	0.00	0.00
uc002azu.1	10000	31	0.00	0.00	0.00	0.00	0.00
uc010ulz.1	10001	28	0.00	0.00	0.00	0.00	0.00
uc010uma.2	10002	3449	3313.71	10.37	0.04	0.07	100.00
uc010umc.2	10003	39	0.00	0.00	0.00	0.00	0.00
uc010umd.1	10004	31	0.00	0.00	0.00	0.00	0.00
uc021sqn.1	10005	28	0.00	0.00	0.00	0.00	0.00
uc002azx.1	10006	1661	1525.71	7.00	0.06	0.11	100.00
uc002azy.3	10007	969	833.71	532.06	7.66	14.88	83.54
uc002azz.3	10007	696	560.74	0.00	0.00	0.00	0.00
uc002baa.3	10007	748	612.73	5.42	0.11	0.21	1.16
uc010umf.1	10007	1431	1295.71	151.44	1.40	2.73	15.30
uc002bad.4	10008	1896	1760.71	24.82	0.17	0.33	76.44
uc002bae.4	10008	1820	1684.71	0.00	0.00	0.00	0.00
uc031qst.1	10008	2019	1883.71	8.18	0.05	0.10	23.56
uc021sqo.1	10009	75	0.00	0.00	0.00	0.00	0.00
uc010ope.1	1001	431	295.85	103.16	4.19	8.13	100.00
uc002baf.4	10010	3291	3155.71	813.86	3.10	6.01	44.18
uc002bag.4	10010	3222	3086.71	93.69	0.36	0.71	5.20
uc002bah.4	10010	3342	3206.71	268.27	1.00	1.95	14.33
uc010bkk.4	10010	2994	2858.71	83.18	0.35	0.68	4.98
uc010umi.2	10010	1565	1429.71	0.00	0.00	0.00	0.00
uc010umj.2	10010	1168	1032.71	47.14	0.55	1.06	7.82
uc010umk.2	10010	1177	1041.71	142.87	1.65	3.20	23.49
uc002bai.3	10011	6697	6561.71	670.53	1.23	2.38	41.60
uc002baj.3	10011	6795	6659.71	423.68	0.76	1.48	25.90
uc002bak.4	10011	4160	4024.71	83.44	0.25	0.48	8.44
uc010uml.2	10011	6620	6484.71	383.16	0.71	1.38	24.06
uc002bal.3	10012	3956	3820.71	796.00	2.50	4.86	100.00
uc002bam.4	10013	519	383.80	128.30	4.01	7.79	100.00
uc002ban.3	10014	1448	1312.71	159.74	1.46	2.84	25.97
uc002bap.3	10014	1937	1801.71	355.12	2.37	4.60	42.07
uc002baq.3	10014	1803	1667.71	166.30	1.20	2.33	21.28
uc002bar.3	10014	1698	1562.71	0.00	0.00	0.00	0.00
uc002bas.3	10014	1503	1367.71	68.43	0.60	1.17	10.68
uc002bat.2	10015	2025	1889.71	34.34	0.22	0.42	1.23
uc010bkl.2	10015	1255	1119.71	1627.66	17.45	33.89	98.77
uc002bau.3	10016	3250	3114.71	57.00	0.22	0.43	100.00
uc002bav.3	10016	2262	2126.71	0.00	0.00	0.00	0.00
uc002baw.3	10017	8305	8169.71	32.55	0.05	0.09	100.00
uc002bax.1	10018	1249	1113.71	4.01	0.04	0.08	100.00
uc002bay.1	10019	3188	3052.71	0.00	0.00	0.00	0.00
uc031qsu.1	10019	3567	3431.71	19.00	0.07	0.13	100.00
uc001dcv.3	1002	2268	2132.71	0.00	0.00	0.00	0.00
uc009wau.3	1002	2394	2258.71	0.00	0.00	0.00	0.00
uc009wav.3	1002	2139	2003.71	0.00	0.00	0.00	0.00
uc021sqq.1	10020	26	0.00	0.00	0.00	0.00	0.00
uc021sqr.1	10021	101	2.53	0.00	0.00	0.00	0.00
uc010umm.1	10022	1184	1048.71	0.00	0.00	0.00	0.00
uc002bba.1	10023	26	0.00	0.00	0.00	0.00	0.00
uc021sqs.1	10024	30	0.00	0.00	0.00	0.00	0.00
uc021sqt.1	10025	29	0.00	0.00	0.00	0.00	0.00
uc002bbb.1	10026	28	0.00	0.00	0.00	0.00	0.00
uc002bbc.2	10027	29	0.00	0.00	0.00	0.00	0.00
uc021squ.1	10028	33	0.00	0.00	0.00	0.00	0.00
uc002bbe.2	10029	31	0.00	0.00	0.00	0.00	0.00
uc001dcw.3	1003	718	582.74	0.00	0.00	0.00	0.00
uc002bbf.1	10030	29	0.00	0.00	0.00	0.00	0.00
uc002bbg.2	10031	3109	2973.71	269.87	1.09	2.12	59.20
